0
30.1,56.1,85.5
28.2,53.8,85.7
27.3,50.4,85.2
31.0,47.2,86.3
32.9,45.5,85.6
29.6,42.8,87.3
32.4,42.2,87.1
30.6,42.1,87.2
30.6,42.1,87.2
32.9,42.1,87.8
31.0,44.1,86.9
32.0,48.3,86.0
36.2,50.6,84.3
32.9,52.7,84.0
31.0,54.9,84.9
26.3,56.0,84.4
28.7,56.2,83.0
3
32.9,57.2,83.8
32.4,57.3,84.0
32.9,56.3,82.5
4
24.9,39.4,125.1
32.0,40.0,125.6
29.1,41.5,125.1
31.0,41.9,124.6
33.4,43.0,124.3
23.0,43.9,125.5
31.5,44.0,124.6
31.5,44.0,124.6
21.2,40.1,123.3
28.2,44.2,122.5
24.9,43.7,122.6
28.2,43.8,122.6
31.0,44.9,122.8
31.0,44.6,122.7
27.7,44.9,122.4
28.2,44.6,122.1
24.9,46.5,121.9
25.4,46.3,121.8
26.3,48.5,119.9
24.5,47.6,120.1
28.2,48.4,119.8
22.6,47.8,119.7
30.6,48.1,119.9
24.9,48.1,120.0
34.3,46.6,121.0
31.5,45.7,121.6
31.5,44.1,121.8
27.7,40.2,123.0
32.9,42.6,123.7
27.7,44.9,123.8
27.7,44.9,123.8
30.6,43.9,124.3
32.9,43.8,123.3
24.0,42.7,122.9
29.6,43.2,122.8
21.2,39.1,122.1
28.2,40.5,124.4
33.8,40.9,123.8
30.6,41.7,124.3
21.6,42.8,123.0
5
54.5,48.2,145.4
48.4,48.7,145.1
59.6,50.1,145.9
53.1,48.5,146.2
49.8,46.8,146.7
61.5,46.5,146.9
58.2,46.7,148.1
59.6,44.8,150.4
63.4,46.9,150.8
54.0,47.7,149.6
55.4,48.7,149.6
58.7,49.8,149.7
61.0,49.2,150.7
59.2,48.6,150.4
59.2,49.5,150.7
57.3,49.1,150.4
66.2,49.8,151.6
61.5,50.3,151.7
55.9,50.1,151.3
55.9,50.1,151.3
52.6,49.3,150.8
63.4,49.1,152.2
48.8,44.4,152.9
59.6,44.6,152.7
62.4,45.0,153.5
58.2,45.6,154.2
54.0,44.4,153.5
60.1,44.5,154.0
57.3,47.1,152.6
61.0,47.2,152.4
61.0,46.6,152.8
52.1,45.6,151.6
