1747402680.348326,0.5
1747402805.2302046,0.75,1
1747402805.3303938,0.75,0
1747402805.7312899,0.75,1
1747402805.8315656,0.75,0
1747402806.135649,0.75,1
1747402806.356215,0.75,0
1747402806.6572866,0.75,1
1747402807.1581573,0.75,0
1747402807.3591383,0.75,1
1747402807.7621427,0.75,0
1747402808.0629423,0.75,1
1747402808.2632494,0.75,0
1747402808.464169,0.75,1
1747402808.6740465,0.75,0
1747402808.8228185,0.75,1
1747402809.1283445,0.75,0
1747402809.2289429,0.75,1
1747402809.4292195,0.75,0
1747402809.7301385,0.75,1
1747402809.9305637,0.75,0
1747402810.1040907,0.75,1
1747402810.4147518,0.75,0
1747402810.5154405,0.75,1
1747402810.8161013,0.75,0
1747402811.3173888,0.75,1
1747402811.8179955,0.75,0
1747402813.3233933,0.75,1
1747402813.4237468,0.75,0
1747402813.8294394,0.75,1
1747402814.037108,0.75,0
1747402814.137859,0.75,1
1747402814.7387776,0.75,0
1747402814.9397104,0.75,1
1747402815.6456814,0.75,0
1747402815.7463078,0.75,1
1747402816.1470165,0.75,0
1747402816.2478244,0.75,1
1747402816.7485082,0.75,0
1747402816.8491364,0.75,1
1747402817.049464,0.75,0
1747402817.5505438,0.75,1
1747402818.1542044,0.75,0
1747402818.4552753,0.75,1
1747402819.2617402,0.75,0
1747402819.3624992,0.75,1
1747402819.7631738,0.75,0
1747402820.064276,0.75,1
1747402820.164562,0.75,0
1747402820.5844474,0.75,1
1747402821.0852754,0.75,0
1747402821.1861286,0.75,1
1747402821.5868824,0.75,0
1747402821.996167,0.75,1
1747402822.1964648,0.75,0
1747402822.5974936,0.75,1
1747402823.5083642,0.75,0
1747402823.70933,0.75,1
1747402823.9097805,0.75,0
1747402824.2160535,0.75,1
1747402824.7168918,0.75,0
1747402825.2182355,0.75,1
1747402825.3185127,0.75,0
1747402825.94176,0.75,1
1747402826.142185,0.75,0
1747402826.242993,0.75,1
1747402826.4433906,0.75,0
1747402826.644352,0.75,1
1747402826.9500341,0.75,0
1747402827.3508832,0.75,1
1747402827.8516405,0.75,0
1747402827.9695802,0.75,1
1747402828.3038945,0.75,0
1747402828.5046182,0.75,1
1747402828.80503,0.75,0
1747402829.006182,0.75,1
1747402829.2065973,0.75,0
1747402829.4093137,0.75,1
